REGION,SEXO,n_casos,peso_promedio
Antofagasta,HOMBRE,13347,6.752091233985165
Antofagasta,MUJER,19546,3.872343599713496
Arica y Parinacota,HOMBRE,8312,5.970940856592878
Arica y Parinacota,MUJER,11397,3.3674625427744145
Atacama,HOMBRE,9019,5.928123361791773
Atacama,MUJER,11909,3.899292199177093
Aysén,HOMBRE,4648,6.125651398450946
Aysén,MUJER,5520,4.718271539855072
Biobío,HOMBRE,48168,6.858498766816143
Biobío,MUJER,66593,4.38216512095866
Coquimbo,HOMBRE,20887,6.372401599080768
Coquimbo,MUJER,29354,4.186146634189548
La Araucanía,HOMBRE,32604,6.25445679671206
La Araucanía,MUJER,45210,3.863162399911524
Los Lagos,HOMBRE,25179,6.73834294848882
Los Lagos,MUJER,32469,4.425140734238812
Los Ríos,HOMBRE,10122,7.33471887966805
Los Ríos,MUJER,12880,4.616057453416149
Magallanes,HOMBRE,5709,6.955971676300578
Magallanes,MUJER,7482,4.984545522587543
Maule,HOMBRE,33246,6.681107092582566
Maule,MUJER,46967,4.312140715821747
Metropolitana,HOMBRE,139819,7.751961571746328
Metropolitana,MUJER,202744,4.829712007260388
O'Higgins,HOMBRE,19195,7.113587496743944
O'Higgins,MUJER,24494,4.7231314485180045
Tarapacá,HOMBRE,7969,6.955474124733342
Tarapacá,MUJER,12367,3.8637950351742543
Valparaíso,HOMBRE,44367,7.361228893096221
Valparaíso,MUJER,61723,4.833994224195195
Ñuble,HOMBRE,14958,6.17931288942372
Ñuble,MUJER,19811,4.264441133713593
