SEXO,REGION,IR_29301_SEVERIDAD,TOTAL_CASOS
MUJER,Antofagasta,1,10242
HOMBRE,Antofagasta,1,5633
MUJER,Antofagasta,2,4136
HOMBRE,Antofagasta,2,3099
HOMBRE,Antofagasta,3,2820
MUJER,Antofagasta,3,2591
MUJER,Antofagasta,0,2578
HOMBRE,Antofagasta,0,1796
MUJER,Arica y Parinacota,1,6291
HOMBRE,Arica y Parinacota,1,4024
MUJER,Arica y Parinacota,2,2138
MUJER,Arica y Parinacota,0,1754
HOMBRE,Arica y Parinacota,2,1724
HOMBRE,Arica y Parinacota,3,1364
MUJER,Arica y Parinacota,3,1214
HOMBRE,Arica y Parinacota,0,1200
MUJER,Atacama,1,4222
MUJER,Atacama,2,4134
HOMBRE,Atacama,2,2902
HOMBRE,Atacama,1,2852
MUJER,Atacama,0,2137
HOMBRE,Atacama,3,1655
HOMBRE,Atacama,0,1611
MUJER,Atacama,3,1416
MUJER,Aysén,2,2861
HOMBRE,Aysén,2,2121
MUJER,Aysén,1,1407
HOMBRE,Aysén,1,1386
HOMBRE,Aysén,3,669
MUJER,Aysén,3,656
MUJER,Aysén,0,596
HOMBRE,Aysén,0,472
MUJER,Biobío,1,24631
MUJER,Biobío,2,18315
HOMBRE,Biobío,1,15390
HOMBRE,Biobío,2,12912
MUJER,Biobío,0,11945
MUJER,Biobío,3,11703
HOMBRE,Biobío,3,11657
HOMBRE,Biobío,0,8217
MUJER,Coquimbo,1,10353
MUJER,Coquimbo,0,7693
MUJER,Coquimbo,2,7435
HOMBRE,Coquimbo,0,5999
HOMBRE,Coquimbo,1,5601
HOMBRE,Coquimbo,2,5189
HOMBRE,Coquimbo,3,4099
MUJER,Coquimbo,3,3874
MUJER,La Araucanía,1,20844
HOMBRE,La Araucanía,1,11534
MUJER,La Araucanía,0,9852
HOMBRE,La Araucanía,0,8175
MUJER,La Araucanía,2,8038
HOMBRE,La Araucanía,3,6772
MUJER,La Araucanía,3,6476
HOMBRE,La Araucanía,2,6130
MUJER,Los Lagos,1,12520
MUJER,Los Lagos,2,9119
HOMBRE,Los Lagos,1,7396
HOMBRE,Los Lagos,2,6824
HOMBRE,Los Lagos,3,5868
MUJER,Los Lagos,0,5419
MUJER,Los Lagos,3,5412
HOMBRE,Los Lagos,0,5094
MUJER,Los Ríos,1,6443
HOMBRE,Los Ríos,1,4215
MUJER,Los Ríos,2,2431
HOMBRE,Los Ríos,3,2132
MUJER,Los Ríos,0,2113
HOMBRE,Los Ríos,2,2065
MUJER,Los Ríos,3,1894
HOMBRE,Los Ríos,0,1710
MUJER,Magallanes,1,2806
MUJER,Magallanes,2,2073
HOMBRE,Magallanes,1,1690
HOMBRE,Magallanes,2,1624
HOMBRE,Magallanes,3,1364
MUJER,Magallanes,3,1322
MUJER,Magallanes,0,1281
HOMBRE,Magallanes,0,1032
MUJER,Maule,1,20216
MUJER,Maule,2,10954
HOMBRE,Maule,1,10615
MUJER,Maule,0,8712
HOMBRE,Maule,2,8227
HOMBRE,Maule,3,7381
MUJER,Maule,3,7087
HOMBRE,Maule,0,7026
MUJER,Metropolitana,1,75802
MUJER,Metropolitana,2,49980
HOMBRE,Metropolitana,3,40654
HOMBRE,Metropolitana,1,38933
MUJER,Metropolitana,3,38636
MUJER,Metropolitana,0,38329
HOMBRE,Metropolitana,2,31507
HOMBRE,Metropolitana,0,28735
MUJER,Metropolitana,DESCONOCIDO,8
HOMBRE,Metropolitana,DESCONOCIDO,7
MUJER,O'Higgins,1,9781
HOMBRE,O'Higgins,1,5760
MUJER,O'Higgins,2,5548
HOMBRE,O'Higgins,0,4678
MUJER,O'Higgins,0,4667
HOMBRE,O'Higgins,3,4564
MUJER,O'Higgins,3,4499
HOMBRE,O'Higgins,2,4196
MUJER,Tarapacá,1,6334
MUJER,Tarapacá,2,3103
HOMBRE,Tarapacá,1,3015
HOMBRE,Tarapacá,2,2175
MUJER,Tarapacá,3,1569
HOMBRE,Tarapacá,3,1568
MUJER,Tarapacá,0,1361
HOMBRE,Tarapacá,0,1211
MUJER,Valparaíso,1,19467
MUJER,Valparaíso,2,18376
MUJER,Valparaíso,0,12894
HOMBRE,Valparaíso,2,12553
HOMBRE,Valparaíso,1,11793
HOMBRE,Valparaíso,3,11676
MUJER,Valparaíso,3,10988
HOMBRE,Valparaíso,0,8347
MUJER,Ñuble,1,8090
HOMBRE,Ñuble,1,4690
MUJER,Ñuble,2,4454
MUJER,Ñuble,0,3966
HOMBRE,Ñuble,2,3441
HOMBRE,Ñuble,0,3426
HOMBRE,Ñuble,3,3401
MUJER,Ñuble,3,3301
